1	Quận	Nc	B-LOC	3	sub
2	Long_Biên	Np	I-LOC	1	nmod
3	thực_hiện	V	O	0	root
4	tốt	A	O	3	vmod
5	các	L	O	6	det
6	mô_hình	N	O	3	dob
7	điểm	N	O	6	nmod
8	về	E	O	6	nmod
9	ATTPĐảm	Np	O	8	pob
10	bảo	V	O	3	vmod
11	ATTP	Np	O	10	dob
12	để	E	O	10	prp
13	phòng_ngừa	V	O	12	vmod
14	ngộ_độc	V	O	13	vmod
15	thực_phẩm	N	O	13	dob
16	và	Cc	O	15	coord
17	các	L	O	18	det
18	bệnh	N	O	16	conj
19	lây_truyền	V	O	15	nmod
20	qua	E	O	19	mnr
21	thực_phẩm	N	O	20	pob
22	có	V	O	21	nmod
23	ý_nghĩa	N	O	22	dob
24	thực_tế	N	O	23	nmod
25	rất	R	O	26	amod
26	quan_trọng	A	O	23	nmod
27	trong	E	O	23	nmod
28	sự	N	O	27	pob
29	phát_triển	V	O	28	nmod
30	kinh_tế	N	O	28	nmod
31	,	CH	O	30	punct
32	xã_hội	N	O	30	nmod
33	;	CH	O	3	punct
34	vì_vậy	C	O	3	coord
35	,	CH	O	3	punct
36	quận	N	B-LOC	39	sub
37	Long_Biên	Np	I-LOC	36	nmod
38	luôn	R	O	39	adv
39	chú_trọng	V	O	3	dep
40	thực_hiện	V	O	39	vmod
41	tốt	A	O	40	vmod
42	các	L	O	43	det
43	mô_hình	N	O	40	dob
44	điểm	N	O	43	nmod
45	về	E	O	43	nmod
46	ATTP	Ny	O	45	pob
47	lĩnh_vực	N	O	46	nmod
48	y_tế	N	O	47	nmod
49	trên	E	O	47	loc
50	địa_bàn	N	O	49	pob
51	quận	N	B-LOC	50	nmod
52	Long_Biên	Np	I-LOC	51	nmod
53	.	CH	O	3	punct
1	Hiện_tại	N	O	7	tmp
2	,	CH	O	7	punct
3	trên	E	O	7	loc
4	địa_bàn	N	O	3	pob
5	quận	N	O	4	nmod
6	đang	R	O	7	adv
7	thực_hiện	V	O	0	root
8	6	M	O	9	det
9	mô_hình	N	O	7	dob
10	điểm	N	O	9	nmod
11	về	E	O	9	nmod
12	ATTP	Np	O	11	pob
13	bao_gồm	V	O	9	nmod
14	:	CH	O	9	punct
15	tuyến	N	O	9	nmod
16	phố	N	O	15	nmod
17	ATTP	Ny	O	15	nmod
18	có	V	O	15	nmod
19	kiểm_soát	V	O	18	vmod
20	;	CH	O	7	punct
21	nâng	V	O	7	vmod
22	cao	A	O	21	vmod
23	năng_lực	N	O	21	dob
24	tự	P	O	25	vmod
25	quản_lý	V	O	23	nmod
26	ATTP	Ny	O	25	dob
27	bếp	N	O	26	nmod
28	ăn	V	O	26	nmod
29	tập_thể	N	O	28	dob
30	trường_học	N	O	29	nmod
31	;	CH	O	7	punct
32	kiểm_soát	V	O	7	vmod
33	ATTP	Ny	O	32	dob
34	bữa	N	O	33	nmod
35	cỗ	N	O	34	nmod
36	tập_trung	V	O	32	vmod
37	đông	A	O	38	nmod
38	người	N	O	36	dob
39	;	CH	O	7	punct
40	tuyến	N	O	38	nmod
41	phố	N	O	40	nmod
42	văn_minh	N	O	41	nmod
43	ATTP	Ny	O	41	nmod
44	;	CH	O	7	punct
45	hệ_thống	N	O	68	sub
46	cảnh_báo	V	O	45	nmod
47	nhanh	A	O	46	vmod
48	về	E	O	46	vmod
49	ATTP	Ny	O	48	pob
50	và	Cc	O	7	coord
51	mô_hình	N	O	50	conj
52	điểm	N	O	51	nmod
53	của	E	O	51	nmod
54	quận	N	O	53	pob
55	“	CH	O	7	punct
56	Đảm_bảo	V	O	45	nmod
57	ATTP	Ny	O	56	dob
58	trong	E	O	45	nmod
59	kinh_doanh	V	O	58	vmod
60	dịch_vụ	N	O	59	dob
61	ăn_uống	V	O	60	nmod
62	,	CH	O	45	punct
63	thức_ăn	N	O	45	nmod
64	đường_phố	N	O	63	nmod
65	ở	E	O	45	loc
66	tuyến	N	O	65	pob
67	phố	N	O	66	nmod
68	hoạt_động	V	O	7	dep
69	đêm	N	O	68	vmod
70	”	CH	O	7	punct
71	.	CH	O	7	punct
1	Chú_trọng	V	O	0	root
2	công_tác	N	O	1	dob
3	kiểm_tra	V	O	2	nmod
4	ATTP	Ny	O	3	loc
5	trên	E	O	3	loc
6	địa_bàn	N	O	5	pob
7	quận	N	O	6	nmod
8	.	CH	O	1	punct
1	Với	E	O	11	tpc
2	mô_hình	N	O	1	pob
3	tuyến	N	O	2	nmod
4	phố	N	O	3	nmod
5	ATTP	Ny	O	3	nmod
6	có	V	O	2	nmod
7	kiểm_soát	V	O	6	vmod
8	,	CH	O	11	punct
9	quận	N	B-LOC	11	sub
10	Long_Biên	Np	I-LOC	9	nmod
11	tiếp_tục	V	O	0	root
12	duy_trì	V	O	11	vmod
13	3	M	O	14	det
14	tuyến	N	O	12	dob
15	phố	N	O	14	nmod
16	ATTP	Ny	O	14	nmod
17	có	V	O	14	nmod
18	kiểm_soát	V	O	17	vmod
19	tại	E	O	18	loc
20	phố	N	B-LOC	19	pob
21	Nguyễn_Sơn	Np	I-LOC	20	nmod
22	,	CH	O	12	punct
23	Chợ	Np	O	20	nmod
24	ẩm_thực	V	O	12	vmod
25	Ngọc_Lâm	Np	B-LOC	23	nmod
26	và	Cc	O	24	coord
27	phố	N	B-LOC	26	conj
28	Việt_Hưng	Np	I-LOC	27	nmod
29	.	CH	O	11	punct
1	Tại	E	O	40	loc
2	các	L	O	3	det
