1	Các	L	O	2	det
2	món	N	O	7	sub
3	ăn	V	O	2	nmod
4	chữa	V	O	2	nmod
5	bệnh	N	O	4	dob
6	trĩ.Kết	Np	O	5	nmod
7	hợp	V	O	0	root
8	món	N	O	7	dob
9	ăn	V	O	8	nmod
10	để	E	O	8	prp
11	chữa_trị	V	O	10	vmod
12	bệnh	N	O	11	dob
13	trĩ	N	O	12	nmod
14	1	M	O	13	det
15	/	CH	O	12	punct
16	Ô	Ny	O	12	nmod
17	Giao	Np	O	16	nmod
18	nấu	V	O	12	nmod
19	cháo	N	O	18	dob
20	nếp	N	O	19	nmod
21	-	CH	O	20	punct
22	Nguyên_liệu	N	O	20	nmod
23	:	CH	O	19	punct
24	Ô	Ny	O	19	nmod
25	Giao	Np	O	24	nmod
26	30	M	O	27	det
27	gam	Nu	O	18	vmod
28	,	CH	O	7	punct
29	gạo_nếp	V	O	7	vmod
30	100	M	O	31	det
31	gam	Nu	O	29	dob
32	,	CH	O	7	punct
33	Đường	N	O	31	nmod
34	đỏ	A	O	33	nmod
35	50	M	O	36	det
36	gam	Nu	O	33	nmod
37	.	CH	O	7	punct
1	-	CH	O	30	punct
2	Phối_chế	N	O	30	tmp
3	:	CH	O	2	punct
4	Trước_tiên	N	O	2	nmod
5	dùng	V	O	4	nmod
6	gạo_nếp	N	O	5	dob
7	nấu	V	O	6	nmod
8	thành	V	O	7	vmod
9	cháo	N	O	8	dob
10	,	CH	O	30	punct
11	sau	E	O	30	tmp
12	đó	P	O	11	pob
13	cho	E	O	8	prp
14	thêm	V	O	13	vmod
15	Ô	Ny	O	13	dob
16	Giao	Np	O	15	nmod
17	và	Cc	O	15	nmod
18	Đường	Np	O	15	nmod
19	đỏ	A	O	18	nmod
20	,	CH	O	25	punct
21	vừa	R	O	22	adv
22	nấu	V	O	13	vmod
23	vừa	R	O	24	adv
24	khuấy	V	O	22	vmod
25	cho	E	O	24	vmod
26	đến	E	O	25	dep
27	Ô	Ny	O	25	pob
28	Giao	Np	O	27	nmod
29	hoàn_toàn	A	O	30	vmod
30	hoà_tan	V	O	0	root
31	là	V	O	30	vmod
32	có_thể	R	O	33	adv
33	dùng	V	O	31	vmod
34	.	CH	O	30	punct
1	-	CH	O	4	punct
2	Công_hiệu	N	O	0	root
3	:	CH	O	2	punct
4	Ích	N	O	2	nmod
5	khí	N	O	4	nmod
6	,	CH	O	2	punct
7	dưỡng	V	O	2	nmod
8	huyết	N	O	7	dob
9	,	CH	O	4	punct
10	cầm	V	O	7	vmod
11	máu	N	O	10	dob
12	.	CH	O	11	punct
1	-	CH	O	12	punct
2	Cách	N	O	5	x
3	dùng	V	O	2	nmod
4	và	Cc	O	9	x
5	liều_lượng	N	O	4	conj
6	:	CH	O	5	punct
7	Mỗi	M	O	8	det
8	ngày	N	O	12	tmp
9	một	M	O	10	det
10	lần	N	O	8	prd
11	,	CH	O	12	punct
12	dùng	V	O	0	root
13	trong	E	O	12	loc
14	5	M	O	15	det
15	ngày	N	O	13	pob
16	liền	R	O	15	nmod
17	.	CH	O	12	punct
18	2	M	O	15	det
19	/	CH	O	12	punct
20	Mộc_nhĩ	N	O	12	sub
21	đen	A	O	20	nmod
22	nấu	V	O	12	vmod
23	táo	N	O	22	dob
24	đỏ	A	O	23	nmod
25	-	CH	O	12	punct
26	Nguyên_liệu	N	O	23	nmod
27	:	CH	O	26	punct
28	Mộc_nhĩ	N	O	26	nmod
29	đen	A	O	28	nmod
30	15g	M	O	28	nmod
31	,	CH	O	26	punct
32	Quả	N	O	29	amod
33	táo	V	O	32	nmod
34	đô	N	O	33	vmod
35	20g	M	O	34	det
36	.	CH	O	12	punct
1	-	CH	O	15	punct
2	Cách	N	O	15	sub
3	làm	V	O	2	nmod
4	:	CH	O	3	punct
5	Cho	V	O	3	vmod
6	mộc_nhĩ	N	O	5	dob
7	đen	A	O	6	nmod
8	và	Cc	O	7	coord
9	táo	A	O	8	conj
10	đỏ	A	O	9	amod
11	vào	E	O	2	loc
12	nồi	N	O	11	pob
13	đất	N	O	12	nmod
14	,	CH	O	15	punct
15	nấu	V	O	0	root
16	chín	A	O	15	vmod
17	với	E	O	15	vmod
18	lượng	N	O	17	pob
19	nước	N	O	18	nmod
20	vừa_phải	A	O	18	nmod
21	.	CH	O	15	punct
1	Mỗi	M	O	2	det
2	ngày	N	O	3	tmp
3	dùng	V	O	0	root
4	một	M	O	5	det
5	lần	N	O	3	dob
6	,	CH	O	3	punct
7	dùng	V	O	3	vmod
8	liền	R	O	10	nmod
9	nhiều	A	O	10	nmod
10	ngày	N	O	12	tmp
11	sẽ	R	O	12	adv
12	có	V	O	3	dep
13	công_hiệu	N	O	12	dob
14	dưỡng	V	O	13	nmod
15	huyết	N	O	14	dob
16	,	CH	O	3	punct
17	hoà	V	O	3	vmod
18	huyết	N	O	17	dob
19	,	CH	O	3	punct
20	cầm	V	O	3	vmod
21	máu	N	O	20	dob
22	.	CH	O	3	punct
23	3	M	O	25	det
24	/	CH	O	25	punct
25	Gốc	N	O	3	dob
26	rau_dền	N	O	25	nmod
27	nấu	V	O	25	nmod
28	đại_tràng	N	O	27	dob
29	heo	N	O	28	nmod
30	-	CH	O	28	punct
31	Nguyên_liệu	N	O	28	nmod
32	:	CH	O	28	punct
33	Gốc	N	O	28	nmod
34	rau_dền	N	O	33	nmod
35	100g	M	O	33	det
36	,	CH	O	3	punct
37	Đại_tràng	Np	O	33	nmod
38	heo	N	O	37	nmod
39	150g	M	O	38	det
40	.	CH	O	3	punct
1	-	CH	O	5	punct
2	Cách	N	O	0	root
3	làm	V	O	2	nmod
4	:	CH	O	3	punct
5	Gốc	V	O	3	vmod
6	rau_dền	N	O	5	dob
7	rửa	V	O	5	vmod
8	sạch	A	O	7	vmod
9	,	CH	O	5	punct
10	xắt	V	O	2	nmod
11	khúc	N	O	10	dob
12	.	CH	O	7	punct
1	Tất_cả	P	O	2	sub
2	cho	V	O	0	root
3	vào	E	O	2	loc
4	nồi	N	O	3	pob
5	nấu	V	O	4	nmod
6	trong	E	O	5	tmp
7	2	M	O	8	det
8	giờ	Nu	O	6	pob
9	với	E	O	2	vmod
10	lượng	N	O	9	pob
11	nước	N	O	10	nmod
12	vừa_phải	A	O	10	nmod
13	.	CH	O	2	punct
14	sau	E	O	17	tmp
15	đó	P	O	14	pob
16	,	CH	O	17	punct
17	gắp	V	O	2	vmod
18	gốc	N	O	17	dob
19	rau_dền	V	O	18	nmod
20	ra	R	O	19	adv
21	,	CH	O	17	punct
22	cho	V	O	17	vmod
23	thêm	V	O	22	vmod
24	lượng	N	O	22	dob
25	muối	N	O	24	nmod
26	vừa	R	O	27	adv
27	ăn	V	O	24	nmod
28	vào	E	O	27	dir
29	nồi	N	O	28	pob
30	nước	N	O	29	nmod
31	rồi	C	O	17	coord
32	ăn	V	O	31	conj
33	xác	N	O	32	dob
34	,	CH	O	17	punct
35	uống	V	O	17	vmod
36	nước	N	O	35	dob
37	.	CH	O	2	punct
1	Đây	P	O	2	sub
2	là	V	O	0	root
3	món	N	O	2	dob
4	giúp	V	O	3	nmod
5	thanh	Nc	O	4	dob
6	nhiệt	N	O	5	nmod
7	,	CH	O	2	punct
8	giải_độc	V	O	2	vmod
9	,	CH	O	2	punct
10	tiêu	V	O	2	vmod
11	sưng	A	O	10	vmod
12	,	CH	O	2	punct
13	tiêu	V	O	2	vmod
14	viêm	N	O	13	dob
15	.	CH	O	2	punct
16	4	M	O	21	det
17	/	CH	O	2	punct
18	Hoa_hoè	N	O	19	sub
19	nhồi	V	O	2	dep
20	đại_tràng	N	O	19	dob
21	heo	N	O	20	nmod
22	-	CH	O	20	punct
23	Nguyên_liệu	N	O	20	nmod
24	:	CH	O	20	punct
25	Hoa_hoè	N	O	20	nmod
26	20g	M	O	25	det
27	,	CH	O	2	punct
28	Đại_tràng	Np	O	25	nmod
29	heo	N	O	28	nmod
30	50g	M	O	29	det
31	.	CH	O	2	punct
1	-	CH	O	12	punct
2	Cách	N	O	12	sub
3	làm	V	O	2	nmod
4	:	CH	O	3	punct
5	Lấy	V	O	3	vmod
6	hoa_hoè	N	O	5	dob
7	nhồi	V	O	5	vmod
8	vào	E	O	7	vmod
9	đại_tràng	N	O	8	pob
10	heo	N	O	9	nmod
11	đã	R	O	12	adv
12	rửa	V	O	0	root
13	sạch	A	O	12	vmod
14	,	CH	O	12	punct
15	dùng	V	O	12	vmod
16	dây	N	O	15	dob
17	buộc	V	O	12	vmod
18	chặt	A	O	17	vmod
19	hai	M	O	20	det
20	đầu	N	O	17	dob
21	đại_tràng	A	O	20	nmod
22	và	Cc	O	12	coord
23	luộc	V	O	22	conj
24	chín	A	O	23	vmod
25	với	E	O	23	vmod
26	lượng	N	O	25	pob
27	nước	N	O	26	nmod
28	vừa_phải	A	O	26	nmod
29	,	CH	O	12	punct
30	cho	E	O	12	prp
31	thêm	V	O	30	vmod
32	gia_vị	N	O	30	dob
33	vừa	R	O	34	adv
34	ăn	V	O	32	nmod
35	.	CH	O	12	punct
1	-	CH	O	7	punct
2	Công_dụng	N	O	7	sub
3	:	CH	O	2	punct
4	Món	N	O	2	nmod
5	ăn	V	O	4	nmod
6	này	P	O	4	det
7	có	V	O	0	root
8	tác_dụng	N	O	7	dob
9	thanh	Nc	O	8	nmod
10	nhiệt	N	O	9	nmod
11	,	CH	O	8	punct
12	cảm	V	O	8	nmod
13	máu	N	O	12	vmod
14	.	CH	O	7	punct
15	5	M	O	20	det
16	/	CH	O	13	punct
17	Chè	N	O	13	nmod
18	nhân_sâm	V	O	17	nmod
19	hạt	N	O	18	dob
20	sen	N	O	19	nmod
21	-	CH	O	17	punct
22	Nguyên_liệu	N	O	17	nmod
23	:	CH	O	17	punct
24	Nhân_sâm	N	O	17	nmod
25	trắng	A	O	24	nmod
26	10g	M	O	24	prd
27	,	CH	O	17	punct
28	Hạt	N	O	17	nmod
29	sen	N	O	28	nmod
30	15g	M	O	28	det
31	,	CH	O	7	punct
32	Đường_phèn	N	O	28	nmod
33	30g	M	O	32	det
34	.	CH	O	7	punct
1	-	CH	O	13	punct
2	Cách	N	O	13	sub
3	làm	V	O	2	nmod
4	:	CH	O	3	punct
5	Cho	V	O	3	vmod
6	nhân_sâm	N	O	5	dob
7	trắng	A	O	6	nmod
8	và	Cc	O	6	coord
9	hạt	N	O	8	conj
10	sen	N	O	9	nmod
11	(	CH	O	13	punct
12	đã	R	O	13	adv
13	bỏ	V	O	0	root
14	tim	N	O	13	dob
15	sen	N	O	14	nmod
16	)	CH	O	13	punct
17	vào	E	O	13	loc
18	chén	N	O	17	pob
19	,	CH	O	13	punct
20	ngâm	V	O	13	vmod
21	với	E	O	20	vmod
22	lượng	N	O	21	pob
23	nước	N	O	22	nmod
24	vừa_phải	A	O	22	nmod
25	cho	E	O	20	iob
26	nở	V	O	25	vmod
27	,	CH	O	13	punct
28	thêm	V	O	13	vmod
29	đường_phèn	N	O	13	dob
30	,	CH	O	13	punct
31	hấp	V	O	13	vmod
32	cách_thuỷ	N	O	31	dob
33	khoảng	N	O	35	nmod
34	1	M	O	35	det
35	giờ	Nu	O	31	tmp
36	.	CH	O	13	punct
1	Người_bệnh	N	O	3	sub
2	nên	C	O	3	dep
3	dùng	V	O	0	root
4	đều_đặn	A	O	3	vmod
5	trong	E	O	3	loc
6	bữa	N	O	5	pob
7	ăn	V	O	6	nmod
8	sáng	N	O	6	nmod
9	và	Cc	O	3	coord
10	tối	N	O	9	conj
11	.	CH	O	3	punct
12	6	M	O	3	det
13	/	CH	O	3	punct
14	Cháo	V	O	3	vmod
15	rau_cần	N	O	14	dob
16	-	CH	O	15	punct
17	Nguyên_liệu	N	O	15	nmod
18	:	CH	O	15	punct
19	Rau_cần	N	O	15	nmod
20	cả	P	O	21	nmod
21	lá	N	O	19	nmod
22	lẫn	C	O	21	coord
23	rễ	N	O	22	conj
24	120	M	O	25	det
25	gam	Nu	O	22	conj
26	,	CH	O	15	punct
27	Gạo	N	O	15	nmod
28	lốc	N	O	27	nmod
29	150	M	O	30	det
30	gam	Nu	O	27	nmod
31	.	CH	O	3	punct
1	-	CH	O	4	punct
2	Phối_chế	N	O	5	sub
3	:	CH	O	2	punct
4	Rửa	V	O	0	root
5	sạch	A	O	4	vmod
6	rau_cần	N	O	4	dob
7	,	CH	O	4	punct
8	thái	V	O	4	vmod
9	dạng	N	O	8	dob
10	khúc	N	O	9	nmod
11	dài	A	O	9	nmod
12	1	M	O	13	det
13	cen-ti-mét.	Nu	O	11	amod
14	Gạo	N	O	13	nmod
15	lốc	N	O	14	nmod
16	với	E	O	9	nmod
17	lượng	N	O	16	pob
18	nước	N	O	17	nmod
19	vừa_phải	A	O	17	nmod
20	,	CH	O	4	punct
21	đun	V	O	4	vmod
22	sôi	A	O	21	vmod
23	bằng	E	O	21	mnr
24	lửa	N	O	23	pob
25	to	A	O	24	nmod
26	,	CH	O	4	punct
27	cho	E	O	4	vmod
28	rau_cần	N	O	27	pob
29	vào	V	O	28	nmod
30	cùng	A	O	29	vmod
31	nấu	V	O	30	amod
32	bằng	E	O	31	mnr
33	lửa	N	O	32	pob
34	nhỏ	A	O	33	nmod
35	cho	E	O	32	pmod
36	đến	V	O	35	vmod
37	cháo	N	O	36	dob
38	chín	V	O	37	nmod
39	nhừ	A	O	38	vmod
40	,	CH	O	45	punct
41	cho	E	O	36	prp
42	thêm	V	O	41	vmod
43	gia_vị	N	O	41	dob
44	là	V	O	4	vmod
45	có_thể	R	O	46	adv
46	dùng	V	O	44	vmod
47	.	CH	O	45	punct
1	-	CH	O	2	punct
2	Công_hiệu	N	O	0	root
3	:	CH	O	2	punct
4	Thanh	Np	O	2	nmod
5	nhiệt	N	O	4	nmod
6	lợi	N	O	5	nmod
7	thấp	A	O	2	nmod
8	.	CH	O	2	punct
1	-	CH	O	19	punct
2	Cách	N	O	19	sub
3	dùng	V	O	2	nmod
